,Stock,Date,neg,neu,pos,compound
34,HD,2023-10-06,0.0057,0.6633,0.081,0.7422
35,HD,2023-10-07,0.017,0.808,0.175,0.9982
36,HD,2023-10-08,0.0123,0.8397,0.1477,0.9987
37,HD,2023-10-09,0.0125,0.851,0.1365,0.9931
38,HD,2023-10-10,0.0147,0.7933,0.192,0.9938
39,HD,2023-10-11,0.011,0.834,0.155,0.9961
40,HD,2023-10-12,0.0585,0.8115,0.13,0.0079
41,HD,2023-10-13,0.01,0.797,0.193,0.9989
42,HD,2023-10-14,0.0,0.875,0.125,0.9925
43,HD,2023-10-15,0.0107,0.8793,0.11,0.9854
44,HD,2023-10-16,0.0208,0.863,0.116,0.9866
45,HD,2023-10-17,0.0447,0.844,0.1113,0.9321
46,HD,2023-10-18,0.0408,0.8397,0.1195,0.9341
47,HD,2023-10-19,0.026,0.822,0.152,0.9993
48,HD,2023-10-20,0.0217,0.8527,0.1257,0.9872
49,HD,2023-10-22,0.0705,0.834,0.095,0.558
50,HD,2023-10-23,0.0452,0.827,0.1278,0.7868
51,HD,2023-10-24,0.0132,0.8752,0.1118,0.9873
52,HD,2023-10-25,0.013,0.8732,0.114,0.9882
53,HD,2023-10-26,0.015,0.8477,0.1373,0.995
54,HD,2023-10-27,0.0163,0.8457,0.1383,0.9957
55,HD,2023-10-28,0.02,0.855,0.1255,0.9961
56,HD,2023-10-29,0.0517,0.8235,0.1245,0.4487
57,HD,2023-10-30,0.021,0.8385,0.1403,0.9515
58,HD,2023-10-31,0.0095,0.8795,0.111,0.9033
