Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-10-02,27.27,27.360001,26.58,26.700001,26.700001,50388600,BAC
2023-10-03,26.49,26.52,25.82,25.91,25.91,62144500,BAC
2023-10-04,25.879999,26.01,25.58,25.940001,25.940001,55696400,BAC
2023-10-05,25.780001,26.09,25.559999,26.059999,26.059999,49044100,BAC
2023-10-06,25.77,26.23,25.469999,26.07,26.07,58120700,BAC
2023-10-09,25.76,26.360001,25.719999,26.309999,26.309999,39953700,BAC
2023-10-10,26.610001,27.299999,26.57,27.01,27.01,51960100,BAC
2023-10-11,27.17,27.440001,26.9,27.02,27.02,38508200,BAC
2023-10-12,26.969999,27.08,26.610001,26.9,26.9,44249800,BAC
2023-10-13,27.43,27.719999,26.52,26.76,26.76,55089700,BAC
2023-10-16,27.16,27.18,26.77,26.99,26.99,56817500,BAC
2023-10-17,27.049999,27.870001,26.719999,27.620001,27.620001,95344200,BAC
2023-10-18,27.540001,28.040001,27.209999,27.309999,27.309999,68371100,BAC
2023-10-19,27.25,27.780001,26.879999,26.959999,26.959999,58611000,BAC
2023-10-20,26.799999,26.940001,26.24,26.309999,26.309999,62029800,BAC
2023-10-23,26.129999,26.209999,25.52,25.57,25.57,59857200,BAC
2023-10-24,25.74,25.870001,25.4,25.469999,25.469999,55975700,BAC
2023-10-25,25.379999,25.65,25.18,25.549999,25.549999,45522400,BAC
2023-10-26,25.49,26.360001,25.440001,26.120001,26.120001,60921000,BAC
2023-10-27,26.07,26.07,24.959999,25.17,25.17,64709300,BAC
2023-10-30,25.32,25.780001,25.280001,25.690001,25.690001,41891900,BAC
2023-10-31,25.74,26.379999,25.719999,26.34,26.34,50106700,BAC
2023-10-02,80.919998,81.769997,80.790001,81.669998,81.669998,9128100,DIS
2023-10-03,81.25,81.889999,79.459999,79.540001,79.540001,12586200,DIS
2023-10-04,79.610001,79.790001,78.730003,79.32,79.32,12010500,DIS
2023-10-05,79.099998,80.940002,78.879997,80.809998,80.809998,15466600,DIS
2023-10-06,81.050003,83.529999,80.489998,82.940002,82.940002,15375100,DIS
2023-10-09,84.300003,84.879997,83.129997,84.699997,84.699997,13604400,DIS
2023-10-10,84.790001,85.290001,83.93,84.989998,84.989998,9450600,DIS
2023-10-11,85.370003,85.720001,84.260002,84.849998,84.849998,9499200,DIS
2023-10-12,84.830002,85.07,83.510002,84.349998,84.349998,9554900,DIS
2023-10-13,83.940002,84.580002,83.379997,84.349998,84.349998,10808000,DIS
2023-10-16,84.309998,85.93,84.309998,85.709999,85.709999,10275100,DIS
2023-10-17,85.349998,86.290001,85.309998,86.199997,86.199997,9985700,DIS
2023-10-18,85.690002,86.260002,84.599998,84.68,84.68,10047000,DIS
2023-10-19,85.260002,85.269997,83.169998,83.25,83.25,14316800,DIS
2023-10-20,82.900002,83.440002,82.610001,82.650002,82.650002,10425200,DIS
2023-10-23,82.080002,84.029999,80.910004,83.099998,83.099998,10772500,DIS
2023-10-24,83.410004,84.199997,81.739998,82.559998,82.559998,11499500,DIS
2023-10-25,82.129997,82.550003,80.519997,80.589996,80.589996,9372500,DIS
2023-10-26,80.080002,80.610001,79.419998,79.779999,79.779999,11651000,DIS
2023-10-27,79.75,81.029999,79.230003,79.330002,79.330002,10300600,DIS
2023-10-30,79.720001,80.93,79.529999,80.68,80.68,10291200,DIS
2023-10-31,80.690002,81.669998,80.330002,81.589996,81.589996,8672200,DIS
2023-10-02,117.529999,117.790001,114.550003,115.629997,114.582222,14395000,XOM
2023-10-03,115.440002,116.440002,115.029999,115.830002,114.780411,13297100,XOM
2023-10-04,114.050003,114.089996,110.5,111.5,110.489647,19622200,XOM
2023-10-05,109.800003,110.900002,108.699997,108.989998,108.002388,20128800,XOM
2023-10-06,105.730003,108.269997,105.110001,107.169998,106.198883,25363400,XOM
2023-10-09,110.440002,112.07,109.519997,110.919998,109.914902,22369900,XOM
2023-10-10,111.019997,111.449997,110.120003,110.449997,109.449158,13892000,XOM
2023-10-11,106.959999,107.169998,104.830002,106.489998,105.52504,57939000,XOM
