,stock,date,neg,neu,pos,compound,volume
384,VZ,2023-10-04,0.0145,0.834,0.152,0.9981,23694100.0
385,VZ,2023-10-05,0.0145,0.834,0.152,0.9981,22774400.0
386,VZ,2023-10-06,,,,,31277900.0
387,VZ,2023-10-08,0.021,0.86,0.119,0.9932,25811100.0
388,VZ,2023-10-09,0.021,0.86,0.119,0.9932,20344300.0
389,VZ,2023-10-10,0.005,0.869,0.1265,0.9978,19151900.0
390,VZ,2023-10-11,0.012,0.849,0.139,0.9987,15694200.0
391,VZ,2023-10-12,0.0305,0.8255,0.1435,0.9984,21718300.0
392,VZ,2023-10-13,0.033,0.843,0.1235,0.998,24528400.0
393,VZ,2023-10-15,0.0125,0.8805,0.107,0.9938,22808150.0
394,VZ,2023-10-16,0.0345,0.8485,0.1165,0.9938,21087900.0
395,VZ,2023-10-17,0.0295,0.846,0.124,0.9931,21186000.0
396,VZ,2023-10-18,0.003,0.914,0.083,0.995,22024300.0
397,VZ,2023-10-19,0.005,0.945,0.0495,0.6864,28806600.0
398,VZ,2023-10-20,0.0175,0.917,0.065,0.6888,27265100.0
399,VZ,2023-10-21,0.024,0.9,0.076,0.9966,28752000.0
400,VZ,2023-10-22,0.044,0.8595,0.096,0.1778,30238900.0
401,VZ,2023-10-23,0.0255,0.8365,0.138,0.9913,31725800.0
402,VZ,2023-10-24,0.0235,0.808,0.168,1.0,61617900.0
403,VZ,2023-10-25,0.017,0.8275,0.1555,0.9991,30832800.0
404,VZ,2023-10-26,0.018,0.882,0.1,0.9926,34367000.0
