,Unnamed: 0,stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
0,0,AAPL,2023-10-01,0.0605,0.8815,0.0575,-0.4582,171.220001,174.300003,170.929993,173.75,173.521393,52164500.0
1,1,AAPL,2023-10-02,0.041,0.893,0.066,0.2672,171.220001,174.300003,170.929993,173.75,173.521393,52164500.0
2,2,AAPL,2023-10-03,0.0215,0.908,0.0705,0.9749,172.259995,173.630005,170.820007,172.399994,172.173172,49594600.0
3,3,AAPL,2023-10-04,0.017,0.883,0.1,0.9827,171.089996,174.210007,170.970001,173.660004,173.431519,53020300.0
4,4,AAPL,2023-10-05,0.018,0.8855,0.0965,0.9552,173.789993,175.449997,172.679993,174.910004,174.679871,48527900.0
5,5,AAPL,2023-10-06,0.0365,0.819,0.144,0.9986,173.800003,177.990005,173.179993,177.490005,177.256485,57224100.0
6,6,AAPL,2023-10-07,0.016,0.848,0.136,0.9996,174.80333466666667,178.34333766666666,174.05332966666666,177.990005,177.75582366666666,52279666.66666666
7,7,AAPL,2023-10-08,0.014,0.8985,0.087,0.9927,175.80666633333334,178.69667033333334,174.92666633333334,178.490005,178.25516233333337,47335233.333333336
8,8,AAPL,2023-10-09,0.014,0.8705,0.1145,0.9926,176.809998,179.050003,175.800003,178.990005,178.754501,42390800.0
9,9,AAPL,2023-10-10,0.0475,0.843,0.109,0.409,178.100006,179.720001,177.949997,178.389999,178.155289,43698000.0
10,10,AAPL,2023-10-11,0.0775,0.862,0.0605,-0.4294,178.199997,179.850006,177.600006,179.800003,179.563431,47551100.0
11,11,AAPL,2023-10-12,0.048,0.8905,0.0615,0.5066,180.070007,182.339996,179.039993,180.710007,180.472244,56743100.0
12,12,AAPL,2023-10-13,0.048,0.8905,0.0615,0.5066,181.419998,181.929993,178.139999,178.850006,178.614685,51427100.0
13,13,AAPL,2023-10-14,0.0385,0.865,0.0965,0.9893,179.863332,180.979996,177.59666433333334,178.806671,178.571411,51790400.0
14,14,AAPL,2023-10-15,0.048,0.856,0.0955,0.9822,178.306666,180.029999,177.05332966666666,178.763336,178.528137,52153700.0
15,15,AAPL,2023-10-16,0.0925,0.8075,0.1,0.005,176.75,179.080002,176.509995,178.720001,178.484863,52517000.0
16,16,AAPL,2023-10-17,0.004,0.8905,0.1055,0.9975,176.649994,178.419998,174.800003,177.149994,176.916916,57549400.0
17,17,AAPL,2023-10-18,0.0385,0.857,0.105,0.2971,175.580002,177.580002,175.110001,175.839996,175.608643,54764400.0
18,18,AAPL,2023-10-19,0.025,0.848,0.127,0.9651,176.039993,177.839996,175.190002,175.460007,175.229156,59302900.0
19,19,AAPL,2023-10-20,0.025,0.848,0.127,0.9651,175.309998,175.419998,172.639999,172.880005,172.652542,64189300.0
20,20,AAPL,2023-10-21,0.0115,0.893,0.096,0.9934,173.84333333333333,174.949997,171.73666366666666,172.92000333333334,172.6924896666667,61452900.0
21,21,AAPL,2023-10-22,0.013,0.8565,0.131,0.9965,172.37666866666666,174.479996,170.83332833333333,172.96000166666667,172.73243733333334,58716500.0
22,22,AAPL,2023-10-23,0.02,0.857,0.1235,0.9929,170.910004,174.009995,169.929993,173.0,172.772385,55980100.0
23,23,AAPL,2023-10-24,0.0165,0.9205,0.063,0.9069,173.050003,173.669998,171.449997,173.440002,173.211807,43816600.0
24,24,AAPL,2023-10-25,0.0165,0.9205,0.063,0.9069,171.880005,173.059998,170.649994,171.100006,170.874893,57157000.0
25,25,AAPL,2023-10-26,0.0445,0.8575,0.098,0.9924,170.369995,171.380005,165.669998,166.889999,166.670425,70625300.0
26,26,AAPL,2023-10-27,0.0445,0.8575,0.098,0.9924,166.910004,168.960007,166.830002,168.220001,167.998672,58499100.0
27,27,AAPL,2023-10-28,0.063,0.852,0.085,0.7656,167.61333733333333,169.69667066666665,167.50999966666666,168.90999833333333,168.687759,56043066.66666666
28,28,AAPL,2023-10-29,0.022,0.893,0.085,0.9895,168.31667066666665,170.4333343333333,168.18999733333334,169.59999566666667,169.376846,53587033.333333336
29,29,AAPL,2023-10-30,0.015,0.8685,0.117,0.9913,169.020004,171.169998,168.869995,170.289993,170.065933,51131000.0
30,30,ADBE,2023-10-01,0.026,0.8295,0.1445,0.9906,508.23999,522.409973,508.23999,521.130005,521.130005,2411500.0
31,31,ADBE,2023-10-02,0.0315,0.829,0.1395,0.9914,508.23999,522.409973,508.23999,521.130005,521.130005,2411500.0
32,32,ADBE,2023-10-03,0.0135,0.865,0.1215,0.9991,517.52002,520.48999,504.549988,507.029999,507.029999,2004100.0
33,33,ADBE,2023-10-04,0.0115,0.8865,0.102,0.9978,511.929993,519.76001,510.0,518.419983,518.419983,2027200.0
34,34,ADBE,2023-10-05,0.02,0.8705,0.1095,0.9974,519.840027,522.609985,509.23999,516.440002,516.440002,1818800.0
35,35,ADBE,2023-10-06,0.0235,0.836,0.1405,0.9988,513.219971,531.309998,509.519989,526.679993,526.679993,2523300.0
