Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,316.279999,321.890015,315.179993,321.799988,321.148163,20570000
2023-10-03,320.829987,321.390015,311.209991,313.390015,312.755219,21033500
2023-10-04,314.029999,320.040009,314.000000,318.959991,318.313934,20720100
2023-10-05,319.089996,319.980011,314.899994,319.359985,318.713104,16965600
2023-10-06,316.549988,329.190002,316.299988,327.260010,326.597137,25645500
2023-10-09,324.750000,330.299988,323.179993,329.820007,329.151947,19891200
2023-10-10,330.959991,331.100006,327.670013,328.390015,327.724854,20557100
2023-10-11,331.209991,332.820007,329.140015,332.420013,331.746674,20063200
2023-10-12,330.570007,333.630005,328.720001,331.160004,330.489227,19313100
2023-10-13,332.380005,333.829987,326.359985,327.730011,327.066193,21072400
2023-10-16,331.049988,336.140015,330.600006,332.640015,331.966248,22158000
2023-10-17,329.589996,333.459991,327.410004,332.059998,331.387390,18338500
2023-10-18,332.489990,335.589996,328.299988,330.109985,329.441345,23153600
2023-10-19,332.149994,336.880005,330.910004,331.320007,330.648895,25052100
2023-10-20,331.720001,331.920013,325.450012,326.670013,326.008331,25012600
2023-10-23,325.470001,332.730011,324.390015,329.320007,328.652954,24374700
2023-10-24,331.299988,331.839996,327.600006,330.529999,329.860504,31153600
2023-10-25,345.019989,346.200012,337.619995,340.670013,339.979980,55053800
2023-10-26,340.540009,341.630005,326.940002,327.890015,327.225861,37828500
2023-10-27,330.429993,336.720001,328.399994,329.809998,329.141968,29856500
2023-10-30,333.410004,339.450012,331.829987,337.309998,336.626770,22828100
2023-10-31,338.850006,339.000000,334.690002,338.109985,337.425140,20265300
