,Stock,Date,neg,neu,pos,compound
9,PYPL,2023-10-10,0.032,0.8745,0.093,0.9808
10,PYPL,2023-10-11,0.006,0.922,0.072,0.6654
11,PYPL,2023-10-12,0.054,0.811,0.135,0.9725
12,PYPL,2023-10-13,0.057,0.795,0.148,0.9998
13,PYPL,2023-10-14,0.03,0.818,0.152,0.9982
14,PYPL,2023-10-15,0.0045,0.8735,0.1225,0.9979
15,PYPL,2023-10-16,0.007,0.8835,0.11,0.999
16,PYPL,2023-10-17,0.0175,0.8705,0.112,0.9861
17,PYPL,2023-10-18,0.026,0.852,0.121,0.993
18,PYPL,2023-10-19,0.094,0.8595,0.0465,-0.4552
19,PYPL,2023-10-20,0.094,0.8595,0.0465,-0.4552
20,PYPL,2023-10-21,0.061,0.8275,0.1115,0.0209
21,PYPL,2023-10-22,0.012,0.885,0.103,0.9914
22,PYPL,2023-10-23,0.031,0.866,0.103,0.9888
23,PYPL,2023-10-24,0.0575,0.807,0.1355,0.9965
24,PYPL,2023-10-25,0.0575,0.807,0.1355,0.9965
25,PYPL,2023-10-26,0.0295,0.7825,0.188,0.9986
26,PYPL,2023-10-27,0.0555,0.7635,0.1805,0.9938
27,PYPL,2023-10-28,0.0355,0.8195,0.145,0.9907
28,PYPL,2023-10-29,0.0375,0.8435,0.119,0.8405
29,PYPL,2023-10-30,0.0315,0.8435,0.1255,0.9788
