Stock,Date,neg,neu,pos,compound,Open,High,Low,Close,Adj Close,Volume
BAC,2023-10-01,0.0485,0.833,0.119,0.9958,,,,,,
BAC,2023-10-02,0.0485,0.833,0.119,0.9958,27.27,27.360001,26.58,26.700001,26.700001,50388600.0
BAC,2023-10-03,0.02,0.873,0.107,0.9932,26.49,26.52,25.82,25.91,25.91,62144500.0
BAC,2023-10-04,0.02,0.873,0.107,0.9932,25.879999,26.01,25.58,25.940001,25.940001,55696400.0
BAC,2023-10-05,0.1065,0.81,0.0835,-0.3283,25.780001,26.09,25.559999,26.059999,26.059999,49044100.0
BAC,2023-10-06,0.1065,0.81,0.0835,-0.3283,25.77,26.23,25.469999,26.07,26.07,58120700.0
BAC,2023-10-07,0.0465,0.826,0.1275,0.8044,,,,,,
BAC,2023-10-08,0.0715,0.8555,0.073,-0.1666,,,,,,
BAC,2023-10-09,0.0245,0.84,0.135,0.9978,25.76,26.360001,25.719999,26.309999,26.309999,39953700.0
BAC,2023-10-10,0.0265,0.8715,0.101,0.9943,26.610001,27.299999,26.57,27.01,27.01,51960100.0
BAC,2023-10-11,0.023,0.8735,0.103,0.9921,27.17,27.440001,26.9,27.02,27.02,38508200.0
BAC,2023-10-12,0.042,0.8205,0.138,0.9952,26.969999,27.08,26.610001,26.9,26.9,44249800.0
BAC,2023-10-13,0.043,0.8715,0.086,0.9206,27.43,27.719999,26.52,26.76,26.76,55089700.0
BAC,2023-10-14,0.0445,0.889,0.0665,0.9137,,,,,,
BAC,2023-10-15,0.041,0.833,0.126,0.991,,,,,,
BAC,2023-10-16,0.023,0.8825,0.0955,0.9866,27.16,27.18,26.77,26.99,26.99,56817500.0
BAC,2023-10-17,0.023,0.8825,0.0955,0.9866,27.049999,27.870001,26.719999,27.620001,27.620001,95344200.0
BAC,2023-10-18,0.0385,0.8455,0.1155,0.9911,27.540001,28.040001,27.209999,27.309999,27.309999,68371100.0
BAC,2023-10-19,0.0345,0.876,0.0895,0.1804,27.25,27.780001,26.879999,26.959999,26.959999,58611000.0
BAC,2023-10-20,0.0315,0.8695,0.099,0.977,26.799999,26.940001,26.24,26.309999,26.309999,62029800.0
BAC,2023-10-21,0.0315,0.885,0.0835,0.9777,,,,,,
BAC,2023-10-22,0.029,0.8785,0.093,0.6241,,,,,,
BAC,2023-10-23,0.0275,0.8515,0.1215,0.9979,26.129999,26.209999,25.52,25.57,25.57,59857200.0
BAC,2023-10-24,0.0515,0.827,0.122,0.9858,25.74,25.870001,25.4,25.469999,25.469999,55975700.0
BAC,2023-10-25,0.0515,0.8555,0.093,0.9647,25.379999,25.65,25.18,25.549999,25.549999,45522400.0
BAC,2023-10-26,0.054,0.8985,0.048,0.0154,25.49,26.360001,25.440001,26.120001,26.120001,60921000.0
BAC,2023-10-27,0.064,0.9005,0.036,-0.7257,26.07,26.07,24.959999,25.17,25.17,64709300.0
BAC,2023-10-28,0.0575,0.7785,0.164,0.996,,,,,,
BAC,2023-10-29,0.0235,0.792,0.1845,0.9635,,,,,,
BAC,2023-10-30,0.021,0.948,0.031,0.1779,25.32,25.780001,25.280001,25.690001,25.690001,41891900.0
BAC,2023-10-31,0.0105,0.474,0.0155,0.089,25.74,26.379999,25.719999,26.34,26.34,50106700.0
MA,2023-10-01,0.081,0.755,0.164,0.9873,,,,,,
MA,2023-10-02,0.004,0.85,0.145,0.9988,393.600006,396.359985,392.450012,395.850006,395.276978,2856800.0
MA,2023-10-03,0.0075,0.864,0.128,0.9967,394.5,397.859985,388.970001,391.059998,390.493927,2527900.0
MA,2023-10-04,0.011,0.878,0.111,0.9945,392.0,394.470001,388.579987,393.76001,393.190033,1813400.0
MA,2023-10-05,0.009,0.834,0.157,0.9962,390.390015,394.720001,390.0,394.200012,394.200012,2116600.0
MA,2023-10-06,0.009,0.834,0.157,0.9962,393.230011,401.0,390.5,397.970001,397.970001,2484000.0
MA,2023-10-07,0.0,0.934,0.066,0.9804,,,,,,
MA,2023-10-09,0.066,0.849,0.085,-0.014,394.459991,396.5,389.579987,394.73999,394.73999,2475100.0
MA,2023-10-10,0.066,0.849,0.085,-0.014,395.540009,402.720001,393.850006,400.369995,400.369995,2713800.0
MA,2023-10-11,0.005,0.893,0.102,0.9744,403.25,405.130005,397.359985,399.809998,399.809998,2055600.0
MA,2023-10-12,0.02,0.8705,0.1095,0.984,403.799988,405.339996,397.320007,399.899994,399.899994,1779000.0
MA,2023-10-13,0.04,0.8475,0.1125,0.9869,398.809998,402.140015,395.079987,398.029999,398.029999,2235600.0
MA,2023-10-15,0.0,0.903,0.097,0.9972,,,,,,
MA,2023-10-16,0.038,0.887,0.0745,0.3975,400.23999,404.429993,398.779999,401.160004,401.160004,2202100.0
MA,2023-10-17,0.055,0.8865,0.058,0.3241,399.640015,403.609985,398.450012,401.769989,401.769989,2176000.0
MA,2023-10-18,0.039,0.8395,0.1215,0.9934,399.109985,401.369995,392.559998,393.209991,393.209991,1951400.0
MA,2023-10-19,0.018,0.878,0.104,0.9917,393.850006,394.829987,385.5,387.869995,387.869995,3472800.0
MA,2023-10-20,0.023,0.825,0.152,0.9966,387.869995,389.98999,384.170013,384.410004,384.410004,2652500.0
MA,2023-10-22,0.02,0.928,0.053,0.6077,,,,,,
MA,2023-10-23,0.02,0.928,0.053,0.6077,382.309998,387.859985,381.0,383.670013,383.670013,1771800.0
MA,2023-10-25,0.017,0.8895,0.093,0.9804,384.0,388.630005,382.23999,386.309998,386.309998,3504500.0
MA,2023-10-26,0.017,0.8895,0.093,0.9804,371.019989,375.549988,363.040009,364.589996,364.589996,6920100.0
MA,2023-10-27,0.024,0.813,0.164,0.9999,366.48999,368.290009,359.769989,364.079987,364.079987,3624900.0
MA,2023-10-28,0.024,0.813,0.164,0.9999,,,,,,
MA,2023-10-29,0.002,0.7555,0.242,0.9982,,,,,,
MA,2023-10-30,0.002,0.7555,0.242,0.9982,366.519989,373.230011,364.720001,372.420013,372.420013,3386400.0
MA,2023-10-31,0.007,0.879,0.114,0.9953,373.320007,377.679993,373.109985,376.350006,376.350006,2978800.0
DIS,2023-10-01,0.037,0.851,0.1115,0.9919,,,,,,
DIS,2023-10-02,0.0065,0.93,0.0635,0.6547,80.919998,81.769997,80.790001,81.669998,81.669998,9128100.0
DIS,2023-10-03,0.015,0.9505,0.0345,0.2957,81.25,81.889999,79.459999,79.540001,79.540001,12586200.0
DIS,2023-10-04,0.021,0.843,0.136,0.9995,79.610001,79.790001,78.730003,79.32,79.32,12010500.0
DIS,2023-10-05,0.0255,0.846,0.1285,0.995,79.099998,80.940002,78.879997,80.809998,80.809998,15466600.0
DIS,2023-10-06,0.0615,0.87,0.068,0.2686,81.050003,83.529999,80.489998,82.940002,82.940002,15375100.0
DIS,2023-10-08,0.0475,0.83,0.122,0.9671,,,,,,
DIS,2023-10-09,0.0475,0.83,0.122,0.9671,84.300003,84.879997,83.129997,84.699997,84.699997,13604400.0
DIS,2023-10-10,0.0275,0.8635,0.109,0.9925,84.790001,85.290001,83.93,84.989998,84.989998,9450600.0
DIS,2023-10-11,0.0595,0.8615,0.079,0.6067,85.370003,85.720001,84.260002,84.849998,84.849998,9499200.0
DIS,2023-10-12,0.0595,0.8615,0.079,0.6067,84.830002,85.07,83.510002,84.349998,84.349998,9554900.0
DIS,2023-10-13,0.064,0.8605,0.0745,0.2014,83.940002,84.580002,83.379997,84.349998,84.349998,10808000.0
DIS,2023-10-14,0.025,0.89,0.086,0.9847,,,,,,
DIS,2023-10-15,0.0045,0.443,0.053,0.4968,,,,,,
DIS,2023-10-16,0.029,0.864,0.1075,0.9939,84.309998,85.93,84.309998,85.709999,85.709999,10275100.0
DIS,2023-10-17,0.0495,0.862,0.088,0.8096,85.349998,86.290001,85.309998,86.199997,86.199997,9985700.0
DIS,2023-10-18,0.043,0.8655,0.091,0.9505,85.690002,86.260002,84.599998,84.68,84.68,10047000.0
DIS,2023-10-19,0.043,0.8655,0.091,0.9505,85.260002,85.269997,83.169998,83.25,83.25,14316800.0
DIS,2023-10-20,0.0915,0.8285,0.08,-0.4434,82.900002,83.440002,82.610001,82.650002,82.650002,10425200.0
DIS,2023-10-21,0.013,0.866,0.121,0.9988,,,,,,
DIS,2023-10-22,0.019,0.886,0.095,0.9821,,,,,,
DIS,2023-10-23,0.019,0.886,0.095,0.9821,82.080002,84.029999,80.910004,83.099998,83.099998,10772500.0
DIS,2023-10-24,0.0525,0.8485,0.1,0.3006,83.410004,84.199997,81.739998,82.559998,82.559998,11499500.0
DIS,2023-10-25,0.0525,0.8485,0.1,0.3006,82.129997,82.550003,80.519997,80.589996,80.589996,9372500.0
DIS,2023-10-26,0.049,0.884,0.0675,0.0301,80.080002,80.610001,79.419998,79.779999,79.779999,11651000.0
DIS,2023-10-27,0.0325,0.805,0.163,-0.0015,79.75,81.029999,79.230003,79.330002,79.330002,10300600.0
DIS,2023-10-28,0.087,0.826,0.0865,0.0053,,,,,,
DIS,2023-10-29,0.01,0.88,0.11,0.9939,,,,,,
