,,neg,neu,pos,compound
Adobe Inc,2023-10-01,0.026,0.8295,0.1445,0.9906
Adobe Inc,2023-10-02,0.0315,0.829,0.1395,0.9914
Adobe Inc,2023-10-03,0.0135,0.865,0.1215,0.9991
Adobe Inc,2023-10-04,0.0115,0.8865,0.102,0.9978
Adobe Inc,2023-10-05,0.02,0.8705,0.1095,0.9974
Adobe Inc,2023-10-06,0.0235,0.836,0.1405,0.9988
Adobe Inc,2023-10-07,0.0125,0.8535,0.135,0.9994
Adobe Inc,2023-10-08,0.0015,0.864,0.135,0.9989
Adobe Inc,2023-10-09,0.041,0.77,0.1885,0.9719
Adobe Inc,2023-10-10,0.041,0.77,0.1885,0.9719
Adobe Inc,2023-10-11,0.033,0.8075,0.16,0.9954
Adobe Inc,2023-10-12,0.058,0.7935,0.1485,0.997
Adobe Inc,2023-10-13,0.036,0.815,0.149,0.9994
Adobe Inc,2023-10-14,0.0085,0.8725,0.119,0.9996
Adobe Inc,2023-10-15,0.024,0.8415,0.1345,0.9991
Adobe Inc,2023-10-16,0.029,0.8225,0.1485,0.999
Adobe Inc,2023-10-17,0.021,0.836,0.143,0.9997
Adobe Inc,2023-10-18,0.012,0.8155,0.172,0.9979
Adobe Inc,2023-10-19,0.016,0.795,0.189,0.9985
Adobe Inc,2023-10-20,0.0235,0.829,0.148,0.9966
Adobe Inc,2023-10-21,0.0405,0.8365,0.1235,0.7831
Adobe Inc,2023-10-22,0.012,0.8705,0.1175,0.9984
Adobe Inc,2023-10-23,0.012,0.863,0.125,0.9946
Adobe Inc,2023-10-24,0.016,0.8615,0.122,0.994
Adobe Inc,2023-10-25,0.013,0.7845,0.2025,0.9965
Adobe Inc,2023-10-26,0.013,0.7845,0.2025,0.9965
Adobe Inc,2023-10-27,0.011,0.893,0.096,0.9765
Adobe Inc,2023-10-28,0.0235,0.8265,0.1505,0.9989
Adobe Inc,2023-10-29,0.0065,0.8355,0.1585,0.9953
Adobe Inc,2023-10-30,0.0,0.852,0.148,0.9851
Adobe Inc,2023-10-31,0.014,0.8525,0.1335,0.9865
